"year","measure","category","level","cost_value","institution"
"1980","raw","dorm","4yr",845.889317308957,"all_institutions"
"1980","raw","dorm","2yr",704.532780640246,"all_institutions"
"1980","raw","board","total",976.433414291937,"all_institutions"
"1980","raw","board","4yr",974.868834842479,"all_institutions"
"1980","raw","board","2yr",999.719522240473,"all_institutions"
"1980","inf","total","total",10729.0067685031,"all_institutions"
"1980","inf","total","4yr",12106.4611465389,"all_institutions"
"1980","inf","total","2yr",7715.35201260119,"all_institutions"
"1980","inf","tuition","total",4458.04894930853,"all_institutions"
"1980","inf","tuition","4yr",5807.42614708719,"all_institutions"
"1980","inf","tuition","2yr",1819.37681619359,"all_institutions"
"1980","inf","dorm","total",2892.92090419221,"all_institutions"
"1980","inf","dorm","4yr",2926.41085203734,"all_institutions"
"1980","inf","dorm","2yr",2437.37842846952,"all_institutions"
"1980","inf","board","total",3378.03691500236,"all_institutions"
"1980","inf","board","4yr",3372.62414741435,"all_institutions"
"1980","inf","board","2yr",3458.59676793808,"all_institutions"
"1981","raw","total","total",3489.38376038878,"all_institutions"
"1981","raw","total","4yr",3950.80516792557,"all_institutions"
"1981","raw","total","2yr",2475.6514264018,"all_institutions"
"1981","raw","tuition","total",1456.64400085582,"all_institutions"
"1981","raw","tuition","4yr",1907.23352958606,"all_institutions"
"1981","raw","tuition","2yr",589.581899734949,"all_institutions"
"1981","raw","dorm","total",949.860633889018,"all_institutions"
"1981","raw","dorm","4yr",961.416502864593,"all_institutions"
"1981","raw","dorm","2yr",792.50865715486,"all_institutions"
"1981","raw","board","total",1082.87912564394,"all_institutions"
"1981","raw","board","4yr",1082.15513547492,"all_institutions"
"1981","raw","board","2yr",1093.56086951199,"all_institutions"
"1981","inf","total","total",11111.8711717613,"all_institutions"
"1981","inf","total","4yr",12581.2582006819,"all_institutions"
"1981","inf","total","2yr",7883.66130107135,"all_institutions"
"1981","inf","tuition","total",4638.65300927101,"all_institutions"
"1981","inf","tuition","4yr",6073.54614181577,"all_institutions"
"1981","inf","tuition","2yr",1877.51149341255,"all_institutions"
"1981","inf","dorm","total",3024.81174891646,"all_institutions"
"1981","inf","dorm","4yr",3061.61117716853,"all_institutions"
"1981","inf","dorm","2yr",2523.72759934814,"all_institutions"
"1981","inf","board","total",3448.40641357381,"all_institutions"
"1981","inf","board","4yr",3446.10088169763,"all_institutions"
"1981","inf","board","2yr",3482.42220831066,"all_institutions"
"1982","raw","total","total",3876.68435353954,"all_institutions"
"1982","raw","total","4yr",4405.97437886965,"all_institutions"
"1982","raw","total","2yr",2713.43959983317,"all_institutions"
"1982","raw","tuition","total",1625.8251364802,"all_institutions"
"1982","raw","tuition","4yr",2139.37219048459,"all_institutions"
"1982","raw","tuition","2yr",674.635968877904,"all_institutions"
"1982","raw","dorm","total",1063.62753404867,"all_institutions"
"1982","raw","dorm","4yr",1077.90083007863,"all_institutions"
"1982","raw","dorm","2yr",873.406279306958,"all_institutions"
"1982","raw","board","total",1187.23168301068,"all_institutions"
"1982","raw","board","4yr",1188.70135830642,"all_institutions"
"1982","raw","board","2yr",1165.39735164831,"all_institutions"
"1982","inf","total","total",11836.8227253235,"all_institutions"
"1982","inf","total","4yr",13452.9234002196,"all_institutions"
"1982","inf","total","2yr",8285.04479343866,"all_institutions"
"1982","inf","tuition","total",4964.19160495229,"all_institutions"
"1982","inf","tuition","4yr",6532.22368726822,"all_institutions"
"1982","inf","tuition","2yr",2059.8907828138,"all_institutions"
"1982","inf","dorm","total",3247.61301621371,"all_institutions"
"1982","inf","dorm","4yr",3291.19419523296,"all_institutions"
"1982","inf","dorm","2yr",2666.80347238009,"all_institutions"
"1982","inf","board","total",3625.01810415746,"all_institutions"
"1982","inf","board","4yr",3629.50551771839,"all_institutions"
"1982","inf","board","2yr",3558.35053824477,"all_institutions"
"1983","raw","total","total",4167.22603193574,"all_institutions"
"1983","raw","total","4yr",4747.13731759941,"all_institutions"
"1983","raw","total","2yr",2854.49353613482,"all_institutions"
"1983","raw","tuition","total",1782.67970296699,"all_institutions"
"1983","raw","tuition","4yr",2343.56161213085,"all_institutions"
"1983","raw","tuition","2yr",730.287230825778,"all_institutions"
"1983","raw","dorm","total",1145.11140649315,"all_institutions"
"1983","raw","dorm","4yr",1162.03566533325,"all_institutions"
"1983","raw","dorm","2yr",916.184899009146,"all_institutions"
"1983","raw","board","total",1239.4349224756,"all_institutions"
"1983","raw","board","4yr",1241.5400401353,"all_institutions"
"1983","raw","board","2yr",1208.0214062999,"all_institutions"
"1983","inf","total","total",12269.7811361491,"all_institutions"
"1983","inf","total","4yr",13977.2442060538,"all_institutions"
"1983","inf","total","2yr",8404.63432377277,"all_institutions"
"1983","inf","tuition","total",5248.83690580611,"all_institutions"
"1983","inf","tuition","4yr",6900.27078914392,"all_institutions"
"1983","inf","tuition","2yr",2150.22281491038,"all_institutions"
"1983","inf","dorm","total",3371.61128926146,"all_institutions"
"1983","inf","dorm","4yr",3421.44226801524,"all_institutions"
"1983","inf","dorm","2yr",2697.571023251,"all_institutions"
"1983","inf","board","total",3649.33294108151,"all_institutions"
"1983","inf","board","4yr",3655.53114889469,"all_institutions"
"1983","inf","board","2yr",3556.84048561139,"all_institutions"
"1984","raw","total","total",4562.70506171873,"all_institutions"
"1984","raw","total","4yr",5160.47891808204,"all_institutions"
"1984","raw","total","2yr",3179.39446380396,"all_institutions"
"1984","raw","tuition","total",1985.30247006733,"all_institutions"
"1984","raw","tuition","4yr",2567.45309004742,"all_institutions"
"1984","raw","tuition","2yr",821.156524711501,"all_institutions"
"1984","raw","dorm","total",1267.12107493356,"all_institutions"
"1984","raw","dorm","4yr",1282.1277858835,"all_institutions"
"1984","raw","dorm","2yr",1057.63185373472,"all_institutions"
"1984","raw","board","total",1310.28151671783,"all_institutions"
"1984","raw","board","4yr",1310.89804215112,"all_institutions"
"1984","raw","board","2yr",1300.60608535774,"all_institutions"
"1984","inf","total","total",12928.1748222147,"all_institutions"
"1984","inf","total","4yr",14621.9342948691,"all_institutions"
"1984","inf","total","2yr",9008.64002841235,"all_institutions"
"1984","inf","tuition","total",5625.24578310937,"all_institutions"
"1984","inf","tuition","4yr",7274.73767139903,"all_institutions"
"1984","inf","tuition","2yr",2326.70202528356,"all_institutions"
"1984","inf","dorm","total",3590.31814593838,"all_institutions"
"1984","inf","dorm","4yr",3632.83883926458,"all_institutions"
"1984","inf","dorm","2yr",2996.74191464719,"all_institutions"
"1984","inf","board","total",3712.6108931669,"all_institutions"
"1984","inf","board","4yr",3714.35778420546,"all_institutions"
"1984","inf","board","2yr",3685.19608848161,"all_institutions"
"1985","raw","total","total",4884.67234533873,"all_institutions"
"1985","raw","total","4yr",5504.16555616529,"all_institutions"
"1985","raw","total","2yr",3366.92313808081,"all_institutions"
"1985","raw","tuition","total",2181.04484315511,"all_institutions"
"1985","raw","tuition","4yr",2784.36013600112,"all_institutions"
"1985","raw","tuition","2yr",888.453668221934,"all_institutions"
"1985","raw","dorm","total",1338.24682622605,"all_institutions"
"1985","raw","dorm","4yr",1354.81746445224,"all_institutions"
"1985","raw","dorm","2yr",1106.92564543215,"all_institutions"
"1985","raw","board","total",1365.38067595757,"all_institutions"
"1985","raw","board","4yr",1364.98795571194,"all_institutions"
"1985","raw","board","2yr",1371.54382442673,"all_institutions"
"1985","inf","total","total",13452.5214976781,"all_institutions"
"1985","inf","total","4yr",15158.6227767664,"all_institutions"
"1985","inf","total","2yr",9272.59858878437,"all_institutions"
"1985","inf","tuition","total",6006.65726697977,"all_institutions"
"1985","inf","tuition","4yr",7668.20411661316,"all_institutions"
"1985","inf","tuition","2yr",2446.82574929552,"all_institutions"
"1985","inf","dorm","total",3685.56843248347,"all_institutions"
"1985","inf","dorm","4yr",3731.20442425695,"all_institutions"
"1985","inf","dorm","2yr",3048.50356149622,"all_institutions"
"1985","inf","board","total",3760.29579821485,"all_institutions"
"1985","inf","board","4yr",3759.21423589634,"all_institutions"
"1985","inf","board","2yr",3777.26927799263,"all_institutions"
"1986","raw","total","total",5205.73386131608,"all_institutions"
"1986","raw","total","4yr",5964.03675239432,"all_institutions"
"1986","raw","total","2yr",3295.35345313199,"all_institutions"
"1986","raw","tuition","total",2312.01229297767,"all_institutions"
"1986","raw","tuition","4yr",3042.12985129868,"all_institutions"
"1986","raw","tuition","2yr",897.220055692545,"all_institutions"
"1986","raw","dorm","total",1404.69145211112,"all_institutions"
"1986","raw","dorm","4yr",1426.50862530252,"all_institutions"
"1986","raw","dorm","2yr",1034.17995711116,"all_institutions"
"1986","raw","board","total",1489.03011622729,"all_institutions"
"1986","raw","board","4yr",1495.39827579311,"all_institutions"
"1986","raw","board","2yr",1363.95344032828,"all_institutions"
"1986","inf","total","total",14025.3373749563,"all_institutions"
"1986","inf","total","4yr",16068.3641917533,"all_institutions"
"1986","inf","total","2yr",8878.37242186994,"all_institutions"
"1986","inf","tuition","total",6229.04537341449,"all_institutions"
"1986","inf","tuition","4yr",8196.1350002827,"all_institutions"
"1986","inf","tuition","2yr",2417.29875477799,"all_institutions"
"1986","inf","dorm","total",3784.53298774573,"all_institutions"
"1986","inf","dorm","4yr",3843.31302197897,"all_institutions"
"1986","inf","dorm","2yr",2786.29741575665,"all_institutions"
"1986","inf","board","total",4011.75901379604,"all_institutions"
