Year,Sex,Control,race,rate
2013,Male,Private Nonprofit,White,64.8091781784126
2014,Male,Private Nonprofit,Total,56.1834561834562
2014,Male,Private Nonprofit,Asian,79.60526315789474
2014,Male,Private Nonprofit,Black,42.547928262214
2014,Male,Private Nonprofit,Hispanic,60.9105180533752
2014,Male,Private Nonprofit,White,63.8671145949981
2015,Male,Private Nonprofit,Total,54.6975546975547
2015,Male,Private Nonprofit,Asian,73.03370786516854
2015,Male,Private Nonprofit,Black,49.8652291105121
2015,Male,Private Nonprofit,Hispanic,59.3038821954485
2015,Male,Private Nonprofit,White,56.5808644973288
2016,Male,Private Nonprofit,Total,54.3707522849777
2016,Male,Private Nonprofit,Asian,86.04651162790698
2016,Male,Private Nonprofit,Black,39.1341991341991
2016,Male,Private Nonprofit,Hispanic,66.2771285475793
2016,Male,Private Nonprofit,White,60.484314804623
2017,Male,Private Nonprofit,Total,52.9923273657289
2017,Male,Private Nonprofit,Asian,81.6326530612245
2017,Male,Private Nonprofit,Black,35.0860420650096
2017,Male,Private Nonprofit,Hispanic,62.7016129032258
2017,Male,Private Nonprofit,White,64.3641058747579
2018,Male,Private Nonprofit,Total,64.0612189122711
2018,Male,Private Nonprofit,Asian,79.0
2018,Male,Private Nonprofit,Black,55.9216384683883
2018,Male,Private Nonprofit,Hispanic,66.4220183486239
2018,Male,Private Nonprofit,White,72.1509971509972
2019,Male,Private Nonprofit,Total,58.3555951320867
2019,Male,Private Nonprofit,Asian,89.1666666666667
2019,Male,Private Nonprofit,Black,43.302752293578
2019,Male,Private Nonprofit,Hispanic,62.8458498023716
2019,Male,Private Nonprofit,White,67.3018292682927
2000,Male,Private For-profit,Total,59.2725582967219
2000,Male,Private For-profit,Black,45.568969946057
2000,Male,Private For-profit,Hispanic,58.1500132520541
2000,Male,Private For-profit,White,63.6763214245464
2005,Male,Private For-profit,Total,57.8214807842509
2005,Male,Private For-profit,Black,43.3170938360517
2005,Male,Private For-profit,Hispanic,57.5638506876228
2005,Male,Private For-profit,White,64.9226963512678
2008,Male,Private For-profit,Total,58.8875530771985
2008,Male,Private For-profit,Asian,68.06282722513089
2008,Male,Private For-profit,Black,48.1668407007773
2008,Male,Private For-profit,Hispanic,63.0572908323989
2008,Male,Private For-profit,White,63.9247198139141
2009,Male,Private For-profit,Total,59.5796659702958
2009,Male,Private For-profit,Asian,68.68648852088822
2009,Male,Private For-profit,Black,49.2857142857143
2009,Male,Private For-profit,Hispanic,63.777610552875
2009,Male,Private For-profit,White,63.6784127563752
2010,Male,Private For-profit,Total,60.8393054024256
2010,Male,Private For-profit,Asian,72.82658170232135
2010,Male,Private For-profit,Black,49.4537757749556
2010,Male,Private For-profit,Hispanic,63.3286170937484
2010,Male,Private For-profit,White,65.9918884303401
2011,Male,Private For-profit,Total,57.6571615412415
2011,Male,Private For-profit,Asian,65.64551422319475
2011,Male,Private For-profit,Black,45.5957251398514
2011,Male,Private For-profit,Hispanic,59.9413646055437
